code,yahoo,name_en,name_zh,market_cap_100m_hkd,board_lot,category,sub_category,price,open,high,low,volume,turnover_proxy,ma5,ma10,dev5,dev10,gain1,gain3,gain5,year_prev_high,three_year_prev_high,history_prev_high,year_high,three_year_high,year_high_breakout,three_year_high_breakout,all_time_high_breakout,year_high_distance,three_year_high_distance,consecutive_3d_gain,consecutive_5d_gain,break_pullback_ma5,break_ma5_pullback_ma10,new_year_high,new_3y_high,new_all_time_high,near_year_high_10pct,near_3y_high_10pct,base_date
0032,0032.HK,CROSS-HAR(HOLD),港通控股,28.32,"1,000",Equity,Equity Securities (Main Board),7.6,7.6,7.6,7.6,3275,0.02,7.592,7.547,0.11,0.71,0.0,0.0,0.4,8.79,9.05,15.5,8.79,9.05,-13.54,-16.02,-50.97,13.54,16.02,False,False,False,False,False,False,False,False,False,2026-08-28
0034,0034.HK,KOWLOON DEV,九龙建业,62.44,"1,000",Equity,Equity Securities (Main Board),4.78,4.8,4.815,4.755,57000,0.27,4.759,4.747,0.44,0.68,-0.31,0.63,0.1,5.45,7.58,11.06,5.45,7.58,-11.65,-36.48,-56.46,12.29,36.94,False,False,False,False,False,False,False,False,False,2026-08-28
0035,0035.HK,FE CONSORT INTL,远东发展,20.19,"1,000",Equity,Equity Securities (Main Board),0.66,0.655,0.665,0.65,468108,0.31,0.66,0.669,0.0,-1.35,0.76,0.0,-1.49,0.93,1.79,4.51,0.93,1.79,-28.49,-62.85,-85.25,29.03,63.13,False,False,False,False,False,False,False,False,False,2026-08-28
0037,0037.HK,FE HOTELS,远东酒店实业,3.73,"2,000",Equity,Equity Securities (Main Board),0.495,0.5,0.51,0.495,446000,0.22,0.494,0.492,0.2,0.71,-1.0,0.0,1.02,0.68,1.24,2.04,0.68,1.24,-25.0,-58.87,-75.0,27.21,60.08,False,False,False,False,False,False,False,False,False,2026-08-28
0038,0038.HK,FIRST TRACTOR,第一拖拉机股份,36.69,"2,000",Equity,Equity Securities (Main Board),9.36,9.155,9.375,8.96,7613208,71.26,8.936,8.634,4.74,8.4,1.74,10.12,9.22,10.6,10.6,10.6,10.6,10.6,-11.56,-11.56,-11.56,11.7,11.7,True,False,False,False,False,False,False,False,False,2026-08-28
0041,0041.HK,GREAT EAGLE H,鹰君,111.71,"1,000",Equity,Equity Securities (Main Board),14.9,15.18,15.18,14.85,533000,7.94,15.588,15.703,-4.41,-5.11,-0.6,-6.58,-7.51,19.2,19.2,45.0,19.2,19.2,-20.94,-20.94,-66.27,22.4,22.4,False,False,False,False,False,False,False,False,False,2026-08-28
0042,0042.HK,NE ELECTRIC,东北电气,0.59,"2,000",Equity,Equity Securities (Main Board),0.227,0.221,0.224,0.221,24000,0.01,0.229,0.235,-0.96,-3.28,-4.62,-1.73,-2.58,0.71,0.71,3.27,0.71,0.71,-68.45,-68.45,-93.15,68.03,68.03,False,False,False,False,False,False,False,False,False,2026-08-28
0045,0045.HK,HK&S HOTELS,大酒店,92.02,500,Equity,Equity Securities (Main Board),5.52,5.58,5.6,5.46,377841,2.09,5.507,5.413,0.24,1.98,-0.18,0.55,2.51,7.26,7.26,17.12,7.26,7.26,-22.87,-22.87,-67.29,23.97,23.97,False,False,False,False,False,False,False,False,False,2026-08-28
0050,0050.HK,HK FERRY (HOLD),香港小轮（集团）,17.92,"1,000",Equity,Equity Securities (Main Board),5.03,5.075,5.075,5.0,56000,0.28,5.03,4.953,0.0,1.55,0.6,-0.2,2.65,5.55,5.55,9.37,5.55,5.55,-8.56,-8.56,-45.84,9.37,9.37,False,False,False,False,False,False,False,True,True,2026-08-28
0052,0052.HK,FAIRWOOD HOLD,大快活集团,6.09,500,Equity,Equity Securities (Main Board),4.7,4.7,4.79,4.7,47000,0.22,4.733,4.714,-0.7,-0.3,0.21,-1.67,-0.74,4.84,11.28,39.0,4.84,11.28,-0.93,-57.54,-87.72,2.79,58.33,False,False,False,False,False,False,False,True,False,2026-08-28
